 Date Time                 , PM25     , WSPD_SCLR , WDIR_SCLR , WSPD_VECT , WDIR_VECT , TEMP_MEAN , ATM_PRESS_1HR , HUMIDITY , RAD_TOTAL , PRECIP_TOTAL
 1/1/2017 1:00 AM          ,8.7,3.96,49,3.12,50.3,1.1,99.9,88.9,0,0
 1/1/2017 2:00 AM          ,11.1,3.96,89.3,3.85,87,0.9,100,95.5,0,0
 1/1/2017 3:00 AM          ,13.7,2.15,42.7,1.54,35.6,0.8,100,96.4,0,0
 1/1/2017 4:00 AM          ,12.7,6.26,101,2.59,120.4,0.9,100,95.5,0,0
 1/1/2017 5:00 AM          ,13,4.89,308.7,4.35,311.7,0.7,100.1,95.7,0,0
 1/1/2017 6:00 AM          ,14.2,2.68,55.3,1.21,8.2,0.5,100.1,96.5,0,0
 1/1/2017 7:00 AM          ,12.6,5.06,71.1,4.77,71.4,0.6,100.1,97.2,0,0
 1/1/2017 8:00 AM          ,3.8,7.48,71.7,7,73.1,0.8,100.1,90.1,0,0
 1/1/2017 9:00 AM          ,0.9,11.52,12.1,9.85,5.7,1,100.2,68.7,13,0
 1/1/2017 10:00 AM         ,0.8,12.77,355.8,11.87,355.9,1.4,100.2,59.5,62.3,0.2
 1/1/2017 11:00 AM         ,0.9,11.95,356.2,11.11,356.2,2.2,100.4,56.4,122.5,0.2
 1/1/2017 12:00 PM         ,0.4,16.9,353.8,15.31,353.7,2.5,100.4,49.2,168.9,0.4
 1/1/2017 1:00 PM          ,0.4,17.23,354.2,15.68,354.3,2,100.4,47.7,113.6,0.2
 1/1/2017 2:00 PM          ,0.5,15.17,356.8,13.9,356.6,1.7,100.4,47.1,101.4,0
 1/1/2017 3:00 PM          ,1.2,10.82,13.3,10.18,13,1.6,100.4,48.9,80.1,0.2
 1/1/2017 4:00 PM          ,1.4,15.21,28.6,14.49,28.6,1.7,100.4,44,55.2,0
 1/1/2017 5:00 PM          ,1.3,15.1,35.8,14.36,35.4,1.4,100.5,40.9,7.1,0
 1/1/2017 6:00 PM          ,2.1,11.99,41.7,11.42,41,0.9,100.5,41,0,0
 1/1/2017 7:00 PM          ,1.8,11.04,41.8,10.47,41.4,0.6,100.5,40.6,0,0
 1/1/2017 8:00 PM          ,1.2,12.74,32.3,12.22,31.2,0.2,100.6,40.5,0,0
 1/1/2017 9:00 PM          ,1.7,11.57,22.6,11.09,22.4,-0.2,100.6,41.9,0,0
 1/1/2017 10:00 PM         ,1.4,11.13,27.7,10.71,27.3,-0.3,100.7,41.4,0,0
 1/1/2017 11:00 PM         ,0.9,13.38,25.1,12.89,24.5,-0.4,100.7,40.4,0,0
 1/1/2017 24:00 AM         ,0.9,13.76,29.1,13.25,28.7,-0.6,100.8,41.1,0,0
 1/2/2017 1:00 AM          ,0.8,11.85,27.5,11.51,27.4,-0.8,100.8,41.3,0,0
 1/2/2017 2:00 AM          ,1.1,8.41,357,7.88,357.7,-1.8,100.8,47.4,0,0
 1/2/2017 3:00 AM          ,1.1,9.98,17.1,9.25,17.3,-1.9,100.9,45.4,0,0
 1/2/2017 4:00 AM          ,0.8,9.77,25.5,9.41,26,-1.7,100.9,42.4,0,0
 1/2/2017 5:00 AM          ,0.9,8.39,31.4,8.08,31.4,-2,100.9,42.8,0,0
 1/2/2017 6:00 AM          ,1,9.98,34,9.72,33.6,-1.8,101,40.6,0,0
 1/2/2017 7:00 AM          ,1,8.54,24.3,8.3,23.8,-2.3,101,42.6,0,0
 1/2/2017 8:00 AM          ,1.5,7.12,30.2,6.87,28.6,-2.5,101,42.9,0,0
 1/2/2017 9:00 AM          ,2.2,5.94,42.7,5.67,42.4,-2.4,101.1,43.4,29.8,0
 1/2/2017 10:00 AM         ,1.9,6.58,12.1,6.1,11.3,-1.5,101.2,41.4,138.1,0
 1/2/2017 11:00 AM         ,2.4,7.45,31.9,6.83,33.3,-0.2,101.4,38.6,224.3,0
